# stan_version_major = 2
# stan_version_minor = 19
# stan_version_patch = 1
# model = bernoulli_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 1
# data
#   file = /home/jesper/dev/julia/ABDA2021/tmp/bernoulli_1.data.R
# init = 2 (Default)
# random
#   seed = 2667590549
# output
#   file = /home/jesper/dev/julia/ABDA2021/tmp/bernoulli_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.985627
# Diagonal elements of inverse mass matrix:
# 0.489822
-8.63843,0.84203,0.985627,1,3,0,8.6529,0.16578
-7.75028,0.912187,0.985627,2,3,0,9.10211,0.399551
-7.66777,0.971844,0.985627,2,3,0,7.90207,0.300809
-7.70168,0.989993,0.985627,1,1,0,7.70598,0.286127
-7.66155,1,0.985627,2,3,0,7.69205,0.304369
-7.71778,0.982185,0.985627,1,3,0,7.76683,0.388934
-7.65578,0.980991,0.985627,2,3,0,7.82014,0.308136
-7.65171,1,0.985627,1,1,0,7.65803,0.311198
-8.08487,0.899903,0.985627,1,3,0,8.11265,0.215021
-8.53365,0.957673,0.985627,2,3,0,8.53508,0.525076
-8.01397,1,0.985627,2,3,0,8.39753,0.223905
-7.69181,1,0.985627,1,3,0,7.92499,0.289845
-7.64907,1,0.985627,1,1,0,7.67903,0.313452
-7.75881,0.904381,0.985627,2,3,0,8.14517,0.269025
-7.68462,1,0.985627,1,1,0,7.74189,0.292788
-7.81838,0.962351,0.985627,1,1,0,7.81964,0.255518
-8.40168,0.863181,0.985627,1,1,0,8.40171,0.183693
-7.67847,1,0.985627,1,3,0,8.23955,0.295504
-9.17944,0.683526,0.985627,1,3,0,9.36924,0.134544
-8.1193,1,0.985627,1,1,0,8.95497,0.211022
-8.05084,1,0.985627,1,1,0,8.19797,0.219167
-7.70475,0.963843,0.985627,2,3,0,8.17258,0.384091
-7.70475,0.592535,0.985627,1,3,0,9.46294,0.384091
-8.14682,0.858122,0.985627,1,1,0,8.14776,0.477068
-8.3377,0.93419,0.985627,1,1,0,8.4904,0.502473
-7.89974,1,0.985627,1,1,0,8.23042,0.435536
-8.1766,0.906678,0.985627,1,1,0,8.23611,0.481315
-7.67375,0.990925,0.985627,1,3,0,8.16204,0.29774
-7.72224,0.963559,0.985627,2,3,0,7.88521,0.279267
-7.91536,0.980905,0.985627,2,3,0,7.93501,0.438623
-7.91536,0.401648,0.985627,2,3,0,11.0931,0.438623
-7.69412,1,0.985627,2,3,0,7.89736,0.288945
-9.27205,0.643985,0.985627,1,3,0,9.57232,0.592245
-7.79608,0.966616,0.985627,2,3,0,9.58433,0.260231
-7.74786,1,0.985627,1,1,0,7.80596,0.271888
-7.74786,0.85571,0.985627,1,3,0,8.41177,0.271888
-7.87238,0.966343,0.985627,1,1,0,7.88572,0.245334
-7.86793,1,0.985627,2,3,0,7.93532,0.246118
-7.95316,0.978074,0.985627,1,1,0,8.00073,0.232387
-7.66679,0.976163,0.985627,2,3,0,8.12339,0.301342
-7.65268,0.968244,0.985627,2,3,0,7.84514,0.310429
-7.71352,0.990672,0.985627,2,3,0,7.72546,0.387394
-7.71924,0.87623,0.985627,2,3,0,8.21404,0.389449
-7.75048,0.844782,0.985627,2,3,0,8.35944,0.399611
-7.75048,0.508095,0.985627,2,3,0,10.0514,0.399611
-9.33741,0.645693,0.985627,1,3,0,9.33979,0.597266
-7.68431,0.88807,0.985627,2,3,0,10.0468,0.292921
-7.99792,0.913472,0.985627,1,3,0,8.128,0.453691
-7.81363,0.683888,0.985627,2,3,0,9.48242,0.416613
-7.81363,0.711094,0.985627,1,3,0,9.11083,0.416613
-8.74763,0.719179,0.985627,1,3,0,9.47728,0.158559
-9.21114,0.920492,0.985627,1,1,0,9.35214,0.13301
-9.56374,0.982069,0.985627,2,3,0,9.80073,0.11756
-9.83495,0.962049,0.985627,1,1,0,10.1446,0.107356
-8.9136,1,0.985627,1,1,0,9.76407,0.148564
-8.85476,1,0.985627,1,1,0,9.16634,0.151984
-7.64159,1,0.985627,2,3,0,8.71677,0.34465
-7.7233,0.97903,0.985627,1,3,0,7.72457,0.390868
-7.65484,0.94479,0.985627,2,3,0,7.94447,0.358476
-7.63826,0.860612,0.985627,2,3,0,8.30849,0.335118
-8.34342,0.858573,0.985627,2,3,0,8.56489,0.188691
-7.91321,0.946288,0.985627,2,3,0,8.95335,0.238508
-8.52767,0.834901,0.985627,1,3,0,9.06196,0.524426
-7.68569,1,0.985627,1,3,0,8.23958,0.376084
-10.6076,0.347324,0.985627,1,3,0,12.0475,0.0840519
