# stan_version_major = 2
# stan_version_minor = 19
# stan_version_patch = 1
# model = bernoulli_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 4
# data
#   file = /home/jesper/dev/julia/ABDA2021/tmp/bernoulli_4.data.R
# init = 2 (Default)
# random
#   seed = 2667590550
# output
#   file = /home/jesper/dev/julia/ABDA2021/tmp/bernoulli_samples_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.00434
# Diagonal elements of inverse mass matrix:
# 0.476571
-8.07466,0.932753,1.00434,2,3,0,8.51048,0.466235
-7.64051,0.928059,1.00434,2,3,0,8.42908,0.324074
-7.64051,0.6544,1.00434,1,3,0,8.99561,0.324074
-7.65225,0.984981,1.00434,2,3,0,7.7134,0.310769
-7.72413,0.889955,1.00434,2,3,0,8.22865,0.391151
-8.3991,0.797415,1.00434,1,3,0,8.79457,0.183908
-8.80278,0.973626,1.00434,2,3,0,8.90215,0.155116
-9.40975,0.899438,1.00434,1,1,0,9.53249,0.123968
-9.49788,0.986466,1.00434,1,1,0,9.8476,0.120241
-7.69703,0.974545,1.00434,1,3,0,9.23363,0.287838
-7.77504,0.991843,1.00434,2,3,0,7.77718,0.406668
-8.3586,0.812885,1.00434,1,1,0,8.36846,0.505029
-8.3586,0.476187,1.00434,1,1,0,9.81925,0.505029
-7.66287,0.998869,1.00434,1,3,0,8.27094,0.303577
-7.68482,0.656876,1.00434,2,3,0,9.88098,0.292703
-7.72193,0.996007,1.00434,2,3,0,7.72193,0.390391
-7.6982,1,1.00434,2,3,0,7.73059,0.381484
-7.83135,0.983481,1.00434,2,3,0,7.83726,0.252928
-8.16661,0.904405,1.00434,1,3,0,8.51635,0.479903
-8.94294,0.756585,1.00434,1,1,0,9.05368,0.564996
-8.96852,0.561624,1.00434,1,3,0,11.278,0.145484
-7.88669,1,1.00434,2,3,0,8.66174,0.432888
-8.99774,0.671573,1.00434,1,1,0,9.01558,0.569785
-8.99774,0.41243,1.00434,1,1,0,10.9905,0.569785
-8.99774,0.363619,1.00434,1,1,0,11.2425,0.569785
-7.69435,1,1.00434,1,3,0,8.84902,0.288856
-8.19816,0.890733,1.00434,2,3,0,8.45217,0.484316
-7.93402,1,1.00434,2,3,0,8.11479,0.235259
-8.62138,0.942262,1.00434,2,3,0,8.71484,0.53435
-8.49539,1,1.00434,2,3,0,8.8636,0.520882
-7.72403,0.983913,1.00434,1,3,0,8.5238,0.278714
-7.72403,0.640145,1.00434,1,3,0,9.17888,0.278714
-7.67356,0.755324,1.00434,2,3,0,9.18736,0.370143
-7.79598,0.84206,1.00434,2,3,0,8.32964,0.412213
-7.64138,0.998471,1.00434,1,3,0,7.7734,0.322483
-7.6576,0.990038,1.00434,2,3,0,7.69015,0.306886
-7.89393,0.826052,1.00434,2,3,0,8.58356,0.241652
-8.07801,0.98469,1.00434,2,3,0,8.11654,0.21584
-8.2574,0.926275,1.00434,1,3,0,8.92429,0.492276
-7.65376,1,1.00434,1,3,0,8.16724,0.309607
-8.35075,0.840854,1.00434,1,3,0,8.41154,0.188047
-8.82096,0.907638,1.00434,1,1,0,8.90047,0.154008
