# stan_version_major = 2
# stan_version_minor = 19
# stan_version_patch = 1
# model = bernoulli_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 3
# data
#   file = /home/jesper/dev/julia/ABDA2021/tmp/bernoulli_3.data.R
# init = 2 (Default)
# random
#   seed = 2667590549
# output
#   file = /home/jesper/dev/julia/ABDA2021/tmp/bernoulli_samples_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.06401
# Diagonal elements of inverse mass matrix:
# 0.431253
-8.17331,0.98653,1.06401,2,3,0,8.30931,0.480851
-8.38548,0.975093,1.06401,2,3,0,8.5516,0.508259
-7.65831,1,1.06401,1,3,0,8.26725,0.306417
-8.14144,0.890063,1.06401,1,3,0,8.16486,0.208547
-8.65558,0.95173,1.06401,2,3,0,8.66134,0.537845
-9.17545,0.829033,1.06401,1,1,0,9.48079,0.584603
-8.20325,0.879004,1.06401,1,3,0,10.0171,0.201987
-8.12661,1,1.06401,1,1,0,8.29952,0.210198
-8.89604,0.843505,1.06401,1,1,0,8.91181,0.149571
-9.97684,0.94562,1.06401,2,3,0,10.038,0.102495
-9.37719,1,1.06401,2,3,0,10.0939,0.125387
-9.37719,0.876385,1.06401,1,1,0,10.2981,0.125387
-8.07216,1,1.06401,1,3,0,9.09336,0.216545
-8.76667,0.853853,1.06401,1,1,0,8.78226,0.157356
-8.81235,0.991231,1.06401,1,1,0,9.07076,0.154531
-9.11462,0.946133,1.06401,1,1,0,9.31147,0.137766
-8.59804,1,1.06401,1,1,0,9.13036,0.168601
-9.61921,0.829875,1.06401,1,1,0,9.65897,0.115367
-9.61921,0.858984,1.06401,1,1,0,10.74,0.115367
-8.86936,1,1.06401,1,1,0,9.60061,0.151124
-8.25824,1,1.06401,1,1,0,8.78686,0.196534
-7.66352,1,1.06401,1,3,0,8.11538,0.303192
-7.77744,0.98453,1.06401,2,3,0,7.77756,0.264466
-8.03172,0.933085,1.06401,1,1,0,8.04073,0.22159
-8.13453,0.974848,1.06401,1,1,0,8.22104,0.209313
-8.03201,1,1.06401,1,1,0,8.19577,0.221553
-8.29926,0.937447,1.06401,1,1,0,8.35627,0.192673
-7.80425,1,1.06401,2,3,0,8.16201,0.414302
-9.18545,0.606062,1.06401,1,1,0,9.18774,0.585407
-8.19569,1,1.06401,2,3,0,8.93633,0.483975
-8.54629,0.87959,1.06401,1,1,0,8.70664,0.526441
-7.67953,0.99897,1.06401,1,3,0,8.44533,0.295024
-7.65446,0.984649,1.06401,2,3,0,7.76441,0.309089
